entity_id,dt_url,pic_url,label_color,label_index,sku
27,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/701645604_datablad.pdf,green,A,701645604
28,,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/705923604_Datablad.pdf,green,A,705923604
1,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/358944305_datablad_0.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/358944305_Nilan energilabel confort 300lr_0.jpg,green,A,GENPAKNILAN1
2,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/358944305_datablad_1.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/358944305_Nilan energilabel confort 300lr_2.jpg,green,A,GENPAKNILAN2
3,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/359200020 Datablad Danfoss Air_1.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359200020_Energilabel Danfoss A2_2_1.jpg,green,A,GENPAKDANFOSS2
4,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/359200020 Datablad Danfoss Air_0.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359200020_Energilabel Danfoss A2_2_0.jpg,green,A,GENPAKDANFOSS1
5,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/UNITEAIR datablad.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/UNITEAIR Energilabel.jpg,green,A,UNITEAIR
6,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/AIRCONR290-Tekniskdata_2.jpg,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/AIRCONR290-Energimærke_2_0.jpg,yellow,A,AIRCONR290
7,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/manual_aircon7000.pdf,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/AIRCON7000_energimærke.jpg,yellow,A,AIRCON7000
8,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/359011130_Tekniskdata 90001243 Erp Product Fiche_0.jpg,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359011130_Energimærke 90001243 Erp Product Label_0.jpg,green,AA,GENPAK6
9,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/359011130_Tekniskdata 90001243 Erp Product Fiche_1.jpg,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359011130_Energimærke 90001243 Erp Product Label_1.jpg,green,AA,GENPAK8
10,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/359011130_Tekniskdata 90001243 Erp Product Fiche_2.jpg,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359011130_Energimærke 90001243 Erp Product Label_2.jpg,green,AA,GENPAK10
11,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/359011140_Tekniskdata 90001244 Erp Product Fiche_1.jpg,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359011140_Energimærke 90001244 Erp Product Label_1.jpg,green,AA,GENPAK12
12,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/datasheet/359011140_Tekniskdata 90001244 Erp Product Fiche_2.jpg,https://www.vvs-eksperten.dk/sites/vvs-eksperten.dk/files/energylabels/359011140_Energimærke 90001244 Erp Product Label_2.jpg,green,AA,GENPAK14
